     Índice del término           Término  Apariciones (TF)
0                     0            Aromas                 1
1                     1           include                 2
2                     2          tropical                 1
3                     3            fruit,                 3
4                     4            broom,                 1
5                     5         brimstone                 1
6                     7             dried                 3
7                     8             herb.                 1
8                     9               The                 5
9                    10            palate                 5
10                   12            overly                 1
11                   13       expressive,                 1
12                   14             offer                 4
13                   15         unripened                 1
14                   16            apple,                 1
15                   17            citrus                 2
16                   20              sage                 1
17                   22             brisk                 1
18                   23          acidity.                 4
19                   24              This                 7
20                   26              ripe                 2
21                   28           fruity,                 1
22                   29                 a                21
23                   30              wine                 5
24                   33            smooth                 1
25                   36       structured.                 1
26                   37              Firm                 1
27                   38           tannins                 2
28                   40              fill                 1
29                   43             juicy                 3
30                   44               red                 3
31                   45             berry                 1
32                   46            fruits                 3
33                   48         freshened                 1
34                   51              It's                 5
35                   53        drinkable,                 1
36                   61             2016.                 1
37                   62              Tart                 1
38                   64           snappy,                 1
39                   66           flavors                 5
40                   68              lime                 1
41                   69             flesh                 1
42                   71              rind                 1
43                   72         dominate.                 1
44                   73              Some                 1
45                   74             green                 4
46                   75         pineapple                 2
47                   76             pokes                 1
48                   77          through,                 2
49                   79             crisp                 3
50                   80           acidity                 4
51                   81      underscoring                 1
52                   83          flavors.                 1
53                   88   stainless-steel                 1
54                   89        fermented.                 1
55                   90         Pineapple                 1
56                   91             rind,                 1
57                   92             lemon                 1
58                   93              pith                 1
59                   95            orange                 2
60                   96           blossom                 1
61                   97             start                 1
62                  100           aromas.                 1
63                  105              bite                 2
64                  107          opulent,                 1
65                  109              note                 7
66                  111    honey-drizzled                 1
67                  112             guava                 1
68                  114             mango                 1
69                  115              give                 2
70                  119          slightly                 2
71                  120       astringent,                 1
72                  121           semidry                 1
73                  122           finish.                 3
74                  123              Much                 1
75                  126           regular                 1
76                  127          bottling                 1
77                  129             2012,                 1
78                  135             rough                 1
79                  137           tannic,                 2
80                  139           rustic,                 1
81                  140           earthy,                 1
82                  141            herbal                 2
83                  142  characteristics.                 1
84                  143      Nonetheless,                 1
85                  151        pleasantly                 1
86                  152           unfussy                 1
87                  153           country                 1
88                  154             wine,                 3
89                  157              good                 2
90                  158         companion                 1
91                  161            hearty                 1
92                  162            winter                 1
93                  163             stew.                 1
94                  164        Blackberry                 1
95                  166         raspberry                 1
96                  167            aromas                 9
97                  168              show                 1
98                  170           typical                 1
99                  171          Navarran                 1
100                 172             whiff                 1
101                 175             herbs                 1
102                 176              and,                 1
103                 179             case,                 1
104                 180      horseradish.                 1
105                 181                In                 2
106                 183            mouth,                 1
107                 187              full                 1
108                 188           bodied,                 1
109                 190          tomatoey                 1
110                 192            Spicy,                 1
111                 195        complement                 1
112                 196              dark                 2
113                 197              plum                 4
114                 201            finish                 3
115                 203             fresh                 3
116                 205           grabby.                 1
117                 206            Here's                 1
118                 208           bright,                 1
119                 209          informal                 1
120                 212              open                 2
121                 216           candied                 1
122                 217            berry,                 1
123                 218             white                 1
124                 219            pepper                 1
125                 221            savory                 1
126                 222              herb                 1
127                 224             carry                 3
128                 228           palate.                 1
129                 230           balance                 2
130                 235              soft                 1
131                 236          tannins.                 1
132                 238               dry                 4
